,time,code,open,high,low,close,volume
228,2012-12-11,000300.XSHG,2263.21,2274.99,2254.3,2258.5,5146870300.0
229,2012-12-12,000300.XSHG,2257.73,2273.21,2247.95,2267.77,4500645400.0
230,2012-12-13,000300.XSHG,2260.6,2266.72,2242.56,2242.64,4194210000.0
231,2012-12-14,000300.XSHG,2245.64,2357.11,2245.64,2355.86,11089256200.0
232,2012-12-17,000300.XSHG,2359.2,2380.0,2358.66,2366.7,9408819500.0
233,2012-12-18,000300.XSHG,2361.09,2398.63,2347.08,2368.12,8578484900.0
234,2012-12-19,000300.XSHG,2362.8,2387.14,2358.03,2371.11,6329253000.0
235,2012-12-20,000300.XSHG,2361.32,2391.92,2346.55,2384.82,6565546200.0
236,2012-12-21,000300.XSHG,2386.38,2414.22,2365.03,2372.0,6871415800.0
237,2012-12-24,000300.XSHG,2368.01,2396.72,2367.04,2381.22,5308700400.0
238,2012-12-25,000300.XSHG,2373.88,2459.3,2365.41,2448.39,9550235000.0
239,2012-12-26,000300.XSHG,2445.99,2458.01,2441.64,2457.62,7159182800.0
240,2012-12-27,000300.XSHG,2464.78,2479.79,2443.68,2444.59,7325506700.0
241,2012-12-28,000300.XSHG,2448.08,2481.59,2444.38,2480.05,6716632100.0
242,2012-12-31,000300.XSHG,2485.56,2522.95,2485.56,2522.95,8200229300.0
243,2013-01-04,000300.XSHG,2551.81,2558.53,2498.89,2524.41,9798818200.0
244,2013-01-07,000300.XSHG,2518.05,2545.97,2511.6,2535.99,7516799300.0
245,2013-01-08,000300.XSHG,2534.65,2540.51,2502.49,2525.33,7183710000.0
246,2013-01-09,000300.XSHG,2518.1,2534.24,2504.3,2526.13,7023117000.0
247,2013-01-10,000300.XSHG,2525.59,2553.35,2513.73,2530.57,7108586200.0
248,2013-01-11,000300.XSHG,2533.49,2539.79,2473.7,2483.23,7423917600.0
249,2013-01-14,000300.XSHG,2474.18,2583.63,2474.0,2577.72,9355409100.0
250,2013-01-15,000300.XSHG,2579.13,2605.41,2576.92,2595.86,9862080500.0
251,2013-01-16,000300.XSHG,2591.36,2600.09,2540.52,2577.09,9353608400.0
252,2013-01-17,000300.XSHG,2570.71,2575.06,2539.67,2552.76,6991523900.0
253,2013-01-18,000300.XSHG,2568.69,2607.45,2553.45,2595.44,7794030300.0
254,2013-01-21,000300.XSHG,2605.65,2611.2,2582.65,2610.9,8413374200.0
255,2013-01-22,000300.XSHG,2610.39,2620.03,2578.18,2596.9,10576627500.0
256,2013-01-23,000300.XSHG,2588.2,2611.41,2576.36,2607.46,7573944400.0
257,2013-01-24,000300.XSHG,2606.43,2663.4,2564.21,2582.76,11127717200.0
258,2013-01-25,000300.XSHG,2580.88,2591.51,2567.11,2571.67,5848735900.0
259,2013-01-28,000300.XSHG,2577.27,2651.97,2577.27,2651.86,9127479000.0
260,2013-01-29,000300.XSHG,2655.38,2685.53,2646.15,2675.87,10104022900.0
261,2013-01-30,000300.XSHG,2678.43,2689.68,2662.06,2688.71,9987499000.0
262,2013-01-31,000300.XSHG,2690.95,2696.88,2671.33,2686.88,9674010100.0
263,2013-02-01,000300.XSHG,2677.19,2744.32,2671.27,2743.32,10387951500.0
264,2013-02-04,000300.XSHG,2753.69,2768.5,2731.08,2748.03,12793917900.0
265,2013-02-05,000300.XSHG,2727.93,2779.95,2725.36,2771.68,11613081900.0
266,2013-02-06,000300.XSHG,2771.91,2787.46,2765.74,2775.84,8277927100.0
267,2013-02-07,000300.XSHG,2771.53,2775.97,2722.87,2759.87,8997814200.0
268,2013-02-08,000300.XSHG,2755.65,2791.3,2747.95,2771.72,7742964400.0
269,2013-02-18,000300.XSHG,2784.07,2787.74,2731.51,2737.47,7643822700.0
270,2013-02-19,000300.XSHG,2735.05,2740.74,2674.34,2685.61,8062643100.0
271,2013-02-20,000300.XSHG,2686.09,2703.1,2665.23,2702.64,7001937700.0
272,2013-02-21,000300.XSHG,2675.74,2675.74,2584.76,2610.55,10065798400.0
273,2013-02-22,000300.XSHG,2607.65,2618.48,2591.15,2596.6,6020485200.0
274,2013-02-25,000300.XSHG,2607.15,2628.7,2590.79,2604.96,5316194200.0
275,2013-02-26,000300.XSHG,2587.38,2631.09,2564.67,2567.59,8000306500.0
276,2013-02-27,000300.XSHG,2576.05,2615.25,2569.38,2594.68,6322674300.0
277,2013-02-28,000300.XSHG,2611.94,2673.71,2594.0,2673.33,8692259500.0
278,2013-03-01,000300.XSHG,2671.84,2680.85,2626.99,2668.84,7334375300.0
279,2013-03-04,000300.XSHG,2619.42,2619.57,2528.69,2545.72,11061910300.0
280,2013-03-05,000300.XSHG,2547.89,2623.17,2541.77,2622.81,8966115200.0
281,2013-03-06,000300.XSHG,2634.87,2658.14,2620.43,2650.2,9582965200.0
282,2013-03-07,000300.XSHG,2639.78,2658.97,2592.87,2619.48,9408266600.0
283,2013-03-08,000300.XSHG,2622.68,2632.62,2601.96,2606.93,5942955700.0
284,2013-03-11,000300.XSHG,2600.28,2611.65,2574.17,2592.37,5094643600.0
285,2013-03-12,000300.XSHG,2590.39,2619.51,2530.25,2555.61,7193514100.0
286,2013-03-13,000300.XSHG,2551.73,2556.77,2515.06,2527.49,5643046000.0
287,2013-03-14,000300.XSHG,2517.74,2546.7,2514.46,2534.27,4760575600.0
288,2013-03-15,000300.XSHG,2533.72,2600.09,2504.46,2539.87,8137218500.0
289,2013-03-18,000300.XSHG,2526.08,2544.62,2499.83,2502.49,5981277800.0
290,2013-03-19,000300.XSHG,2507.4,2532.07,2491.85,2525.1,5453647600.0
291,2013-03-20,000300.XSHG,2526.97,2610.17,2526.83,2610.17,9070062200.0
292,2013-03-21,000300.XSHG,2611.58,2626.54,2598.51,2614.99,6955275600.0
293,2013-03-22,000300.XSHG,2612.26,2625.53,2603.34,2618.31,5564714100.0
294,2013-03-25,000300.XSHG,2628.41,2641.61,2607.61,2613.1,5626140200.0
295,2013-03-26,000300.XSHG,2601.96,2607.36,2554.97,2575.05,6396296100.0
296,2013-03-27,000300.XSHG,2575.73,2611.94,2566.34,2583.53,5690651700.0
297,2013-03-28,000300.XSHG,2535.99,2535.99,2495.08,2499.3,8757840500.0
298,2013-03-29,000300.XSHG,2502.78,2509.11,2482.49,2495.08,5240213700.0
299,2013-04-01,000300.XSHG,2486.43,2507.82,2483.73,2493.19,4734602200.0
300,2013-04-02,000300.XSHG,2495.84,2524.46,2475.0,2486.39,5568415200.0
301,2013-04-03,000300.XSHG,2493.88,2507.14,2474.93,2483.55,4556422100.0
302,2013-04-08,000300.XSHG,2443.24,2473.31,2429.5,2472.3,5329677200.0
303,2013-04-09,000300.XSHG,2477.29,2505.29,2477.29,2489.43,5238982400.0
304,2013-04-10,000300.XSHG,2487.98,2495.57,2466.19,2485.31,4750491300.0
305,2013-04-11,000300.XSHG,2502.5,2508.59,2476.4,2477.88,4298995800.0
306,2013-04-12,000300.XSHG,2476.32,2489.12,2460.18,2462.11,3991727800.0
307,2013-04-15,000300.XSHG,2453.97,2461.67,2430.15,2436.82,4653973400.0
308,2013-04-16,000300.XSHG,2419.51,2461.05,2416.62,2459.59,5528061300.0
309,2013-04-17,000300.XSHG,2457.88,2465.2,2437.34,2458.47,4469216400.0
310,2013-04-18,000300.XSHG,2440.71,2478.41,2434.73,2464.85,4286070700.0
311,2013-04-19,000300.XSHG,2469.95,2542.45,2469.32,2533.83,7552087600.0
312,2013-04-22,000300.XSHG,2525.11,2539.05,2518.26,2530.67,6251188300.0
313,2013-04-23,000300.XSHG,2532.2,2532.2,2448.2,2449.47,6065398200.0
314,2013-04-24,000300.XSHG,2452.78,2511.2,2446.59,2495.58,6305091600.0
